40,5.19E+11,1.04E-01,1.66E-08,3.46E+31,1.93E+03,6.29E-04,2.44E-11,8.07E-01,1.985-128,r,4.6
41,5.19E+11,1.15E-01,1.86E-08,3.46E+31,1.98E+03,7.08E-04,2.67E-11,7.95E-01,2.185-127,r,4.6
42,5.18E+11,1.27E-01,2.08E-08,3.46E+31,2.03E+03,7.95E-04,2.93E-11,7.83E-01,2.233-126,r,4.6
43,5.18E+11,1.39E-01,2.32E-08,3.46E+31,2.08E+03,8.90E-04,3.20E-11,7.71E-01,2.126-125,r,4.6
44,5.17E+11,1.53E-01,2.58E-08,3.46E+31,2.13E+03,9.94E-04,3.49E-11,7.60E-01,1.894-124,r,4.6
45,5.17E+11,1.68E-01,2.87E-08,3.46E+31,2.18E+03,1.11E-03,3.80E-11,7.50E-01,1.584-123,r,4.6
46,5.16E+11,1.84E-01,3.18E-08,3.46E+31,2.23E+03,1.23E-03,4.13E-11,7.40E-01,1.247-122,r,4.6
47,5.15E+11,2.01E-01,3.51E-08,3.46E+31,2.28E+03,1.37E-03,4.47E-11,7.30E-01,9.278-122,r,4.6
48,5.15E+11,2.19E-01,3.88E-08,3.46E+31,2.33E+03,1.51E-03,4.84E-11,7.20E-01,6.537-121,r,4.6
49,5.14E+11,2.39E-01,4.27E-08,3.46E+31,2.38E+03,1.67E-03,5.24E-11,7.11E-01,4.373-120,r,4.6
50,5.14E+11,2.60E-01,4.69E-08,3.46E+31,2.43E+03,1.84E-03,5.65E-11,7.02E-01,2.785-119,r,4.6
51,5.13E+11,2.82E-01,5.15E-08,3.46E+31,2.49E+03,2.03E-03,6.10E-11,6.94E-01,1.692-118,r,4.6
52,5.13E+11,3.05E-01,5.64E-08,3.46E+31,2.54E+03,2.23E-03,6.56E-11,6.85E-01,9.832-118,r,4.6
53,5.12E+11,3.30E-01,6.16E-08,3.46E+31,2.59E+03,2.45E-03,7.05E-11,6.77E-01,5.472-117,r,4.6
54,5.12E+11,3.57E-01,6.72E-08,3.46E+31,2.64E+03,2.68E-03,7.57E-11,6.69E-01,2.923-116,r,4.6
55,5.11E+11,3.85E-01,7.32E-08,3.46E+31,2.69E+03,2.93E-03,8.12E-11,6.62E-01,1.501-115,r,4.6
56,5.11E+11,4.15E-01,7.97E-08,3.46E+31,2.74E+03,3.20E-03,8.70E-11,6.54E-01,7.422-115,r,4.6
57,5.10E+11,4.47E-01,8.66E-08,3.46E+31,2.80E+03,3.48E-03,9.31E-11,6.47E-01,3.540-114,r,4.6
58,5.10E+11,4.80E-01,9.39E-08,3.46E+31,2.85E+03,3.79E-03,9.95E-11,6.40E-01,1.631-113,r,4.6
59,5.09E+11,5.15E-01,1.02E-07,3.46E+31,2.90E+03,4.12E-03,1.06E-10,6.33E-01,7.267-113,r,4.6
60,5.08E+11,5.53E-01,1.10E-07,3.46E+31,2.95E+03,4.48E-03,1.13E-10,6.26E-01,3.136-112,r,4.6
61,5.08E+11,5.92E-01,1.19E-07,3.46E+31,3.01E+03,4.85E-03,1.21E-10,6.20E-01,1.312-111,r,4.6
62,5.07E+11,6.34E-01,1.28E-07,3.46E+31,3.06E+03,5.26E-03,1.28E-10,6.14E-01,5.330-111,r,4.6
63,5.07E+11,6.77E-01,1.38E-07,3.46E+31,3.11E+03,5.69E-03,1.37E-10,6.07E-01,2.104-110,r,4.6
64,5.06E+11,7.23E-01,1.49E-07,3.46E+31,3.16E+03,6.14E-03,1.45E-10,6.01E-01,8.082-110,r,4.6
65,5.06E+11,7.72E-01,1.60E-07,3.46E+31,3.22E+03,6.63E-03,1.54E-10,5.95E-01,3.023-109,r,4.6
66,5.05E+11,8.22E-01,1.72E-07,3.46E+31,3.27E+03,7.15E-03,1.63E-10,5.90E-01,1.102-108,r,4.6
67,5.05E+11,8.76E-01,1.85E-07,3.46E+31,3.32E+03,7.70E-03,1.73E-10,5.84E-01,3.919-108,r,4.6
68,5.04E+11,9.32E-01,1.98E-07,3.46E+31,3.38E+03,8.28E-03,1.83E-10,5.79E-01,1.361-107,r,4.6
69,5.04E+11,9.90E-01,2.12E-07,3.46E+31,3.43E+03,8.90E-03,1.94E-10,5.73E-01,4.619-107,r,4.6
70,5.03E+11,1.05E+00,2.27E-07,3.46E+31,3.48E+03,9.56E-03,2.05E-10,5.68E-01,1.533-106,r,4.6
71,5.03E+11,1.12E+00,2.42E-07,3.46E+31,3.54E+03,1.03E-02,2.17E-10,5.63E-01,4.979-106,r,4.6
72,5.02E+11,1.18E+00,2.59E-07,3.46E+31,3.59E+03,1.10E-02,2.29E-10,5.58E-01,1.584-105,r,4.6
73,5.01E+11,1.25E+00,2.76E-07,3.46E+31,3.64E+03,1.18E-02,2.41E-10,5.53E-01,4.938-105,r,4.6
74,5.01E+11,1.33E+00,2.95E-07,3.46E+31,3.70E+03,1.26E-02,2.54E-10,5.48E-01,1.509-104,r,4.6
75,5.00E+11,1.41E+00,3.14E-07,3.46E+31,3.75E+03,1.35E-02,2.68E-10,5.44E-01,4.528-104,r,4.6
76,5.00E+11,1.49E+00,3.34E-07,3.46E+31,3.81E+03,1.44E-02,2.82E-10,5.39E-01,1.333-103,r,4.6
77,4.99E+11,1.57E+00,3.55E-07,3.46E+31,3.86E+03,1.53E-02,2.97E-10,5.35E-01,3.857-103,r,4.6
78,4.99E+11,1.66E+00,3.77E-07,3.46E+31,3.92E+03,1.64E-02,3.12E-10,5.30E-01,1.097-102,r,4.6
79,4.98E+11,1.75E+00,4.01E-07,3.46E+31,3.97E+03,1.74E-02,3.28E-10,5.26E-01,3.067-102,r,4.6
80,4.98E+11,1.84E+00,4.25E-07,3.46E+31,4.03E+03,1.86E-02,3.44E-10,5.22E-01,8.436-102,r,4.6
81,4.97E+11,1.94E+00,4.51E-07,3.46E+31,4.08E+03,1.98E-02,3.62E-10,5.18E-01,2.284-101,r,4.6
82,4.97E+11,2.05E+00,4.78E-07,3.46E+31,4.14E+03,2.10E-02,3.79E-10,5.14E-01,6.091-101,r,4.6
83,4.96E+11,2.15E+00,5.06E-07,3.46E+31,4.19E+03,2.23E-02,3.98E-10,5.10E-01,1.600-100,r,4.6
84,4.95E+11,2.26E+00,5.35E-07,3.46E+31,4.25E+03,2.37E-02,4.17E-10,5.06E-01,4.142-100,r,4.6
85,4.95E+11,2.38E+00,5.66E-07,3.46E+31,4.30E+03,2.52E-02,4.37E-10,5.02E-01,1.06E-99,r,4.6
86,4.94E+11,2.50E+00,5.98E-07,3.46E+31,4.36E+03,2.67E-02,4.57E-10,4.98E-01,2.66E-99,r,4.6
87,4.94E+11,2.63E+00,6.31E-07,3.46E+31,4.41E+03,2.83E-02,4.79E-10,4.95E-01,6.61E-99,r,4.6
88,4.93E+11,2.76E+00,6.66E-07,3.46E+31,4.47E+03,2.99E-02,5.01E-10,4.91E-01,1.62E-98,r,4.6
89,4.93E+11,2.89E+00,7.03E-07,3.46E+31,4.52E+03,3.17E-02,5.23E-10,4.87E-01,3.93E-98,r,4.6
90,4.92E+11,3.03E+00,7.41E-07,3.46E+31,4.58E+03,3.35E-02,5.47E-10,4.84E-01,9.39E-98,r,4.6
91,4.92E+11,3.18E+00,7.81E-07,3.46E+31,4.64E+03,3.55E-02,5.72E-10,4.81E-01,2.22E-97,r,4.6
92,4.91E+11,3.33E+00,8.22E-07,3.46E+31,4.69E+03,3.75E-02,5.97E-10,4.77E-01,5.18E-97,r,4.6
93,4.91E+11,3.49E+00,8.65E-07,3.46E+31,4.75E+03,3.96E-02,6.23E-10,4.74E-01,1.20E-96,r,4.6
94,4.90E+11,3.65E+00,9.10E-07,3.46E+31,4.80E+03,4.18E-02,6.50E-10,4.71E-01,2.73E-96,r,4.6
95,4.90E+11,3.82E+00,9.57E-07,3.46E+31,4.86E+03,4.41E-02,6.78E-10,4.67E-01,6.17E-96,r,4.6
96,4.89E+11,3.99E+00,1.01E-06,3.46E+31,4.92E+03,4.65E-02,7.07E-10,4.64E-01,1.38E-95,r,4.6
97,4.88E+11,4.17E+00,1.06E-06,3.46E+31,4.97E+03,4.90E-02,7.36E-10,4.61E-01,3.05E-95,r,4.6
98,4.88E+11,4.36E+00,1.11E-06,3.46E+31,5.03E+03,5.17E-02,7.67E-10,4.58E-01,6.67E-95,r,4.6
99,4.87E+11,4.55E+00,1.16E-06,3.46E+31,5.09E+03,5.44E-02,7.99E-10,4.55E-01,1.45E-94,r,4.6
100,4.87E+11,4.75E+00,1.22E-06,3.46E+31,5.15E+03,5.73E-02,8.31E-10,4.52E-01,3.11E-94,r,4.6
101,4.86E+11,4.96E+00,1.28E-06,3.46E+31,5.20E+03,6.03E-02,8.65E-10,4.49E-01,6.60E-94,r,4.6
102,4.86E+11,5.17E+00,1.34E-06,3.46E+31,5.26E+03,6.34E-02,9.00E-10,4.46E-01,1.39E-93,r,4.6
103,4.85E+11,5.39E+00,1.40E-06,3.46E+31,5.32E+03,6.66E-02,9.36E-10,4.44E-01,2.91E-93,r,4.6
104,4.85E+11,5.62E+00,1.47E-06,3.46E+31,5.38E+03,7.00E-02,9.73E-10,4.41E-01,6.01E-93,r,4.6
105,4.84E+11,5.85E+00,1.54E-06,3.46E+31,5.43E+03,7.35E-02,1.01E-09,4.38E-01,1.23E-92,r,4.6
106,4.84E+11,6.10E+00,1.61E-06,3.46E+31,5.49E+03,7.72E-02,1.05E-09,4.35E-01,2.51E-92,r,4.6
107,4.83E+11,6.35E+00,1.68E-06,3.46E+31,5.55E+03,8.10E-02,1.09E-09,4.33E-01,5.07E-92,r,4.6
108,4.83E+11,6.61E+00,1.76E-06,3.46E+31,5.61E+03,8.50E-02,1.13E-09,4.30E-01,1.01E-91,r,4.6
109,4.82E+11,6.87E+00,1.84E-06,3.46E+31,5.67E+03,8.91E-02,1.18E-09,4.27E-01,2.02E-91,r,4.6
110,4.81E+11,7.15E+00,1.92E-06,3.46E+31,5.73E+03,9.34E-02,1.22E-09,4.25E-01,3.97E-91,r,4.6
111,4.81E+11,7.43E+00,2.00E-06,3.46E+31,5.78E+03,9.79E-02,1.26E-09,4.22E-01,7.77E-91,r,4.6
112,4.80E+11,7.73E+00,2.09E-06,3.46E+31,5.84E+03,1.03E-01,1.31E-09,4.20E-01,1.51E-90,r,4.6
113,4.80E+11,8.03E+00,2.18E-06,3.46E+31,5.90E+03,1.07E-01,1.36E-09,4.18E-01,2.91E-90,r,4.6
114,4.79E+11,8.34E+00,2.27E-06,3.46E+31,5.96E+03,1.12E-01,1.41E-09,4.15E-01,5.57E-90,r,4.6
115,4.79E+11,8.66E+00,2.37E-06,3.46E+31,6.02E+03,1.18E-01,1.46E-09,4.13E-01,1.06E-89,r,4.6
116,4.78E+11,8.99E+00,2.47E-06,3.46E+31,6.08E+03,1.23E-01,1.51E-09,4.10E-01,2.00E-89,r,4.6
117,4.78E+11,9.33E+00,2.57E-06,3.46E+31,6.14E+03,1.29E-01,1.57E-09,4.08E-01,3.74E-89,r,4.6
118,4.77E+11,9.68E+00,2.68E-06,3.46E+31,6.20E+03,1.34E-01,1.62E-09,4.06E-01,6.97E-89,r,4.6
119,4.77E+11,1.00E+01,2.79E-06,3.46E+31,6.26E+03,1.41E-01,1.68E-09,4.03E-01,1.29E-88,r,4.6
120,4.76E+11,1.04E+01,2.90E-06,3.46E+31,6.32E+03,1.47E-01,1.74E-09,4.01E-01,2.37E-88,r,4.6
121,4.75E+11,1.08E+01,3.02E-06,3.46E+31,6.38E+03,1.53E-01,1.80E-09,3.99E-01,4.34E-88,r,4.6
122,4.75E+11,1.12E+01,3.14E-06,3.46E+31,6.44E+03,1.60E-01,1.86E-09,3.97E-01,7.88E-88,r,4.6
123,4.74E+11,1.16E+01,3.27E-06,3.46E+31,6.50E+03,1.67E-01,1.92E-09,3.95E-01,1.42E-87,r,4.6
124,4.74E+11,1.20E+01,3.40E-06,3.46E+31,6.56E+03,1.74E-01,1.98E-09,3.93E-01,2.55E-87,r,4.6
125,4.73E+11,1.24E+01,3.53E-06,3.46E+31,6.62E+03,1.82E-01,2.05E-09,3.91E-01,4.56E-87,r,4.6
126,4.73E+11,1.29E+01,3.66E-06,3.46E+31,6.68E+03,1.90E-01,2.12E-09,3.89E-01,8.09E-87,r,4.6
127,4.72E+11,1.33E+01,3.81E-06,3.46E+31,6.74E+03,1.98E-01,2.19E-09,3.86E-01,1.43E-86,r,4.6
128,4.72E+11,1.38E+01,3.95E-06,3.46E+31,6.80E+03,2.06E-01,2.26E-09,3.84E-01,2.51E-86,r,4.6
129,4.71E+11,1.43E+01,4.10E-06,3.46E+31,6.86E+03,2.15E-01,2.33E-09,3.83E-01,4.38E-86,r,4.6
130,4.71E+11,1.48E+01,4.26E-06,3.46E+31,6.93E+03,2.23E-01,2.41E-09,3.81E-01,7.61E-86,r,4.6
131,4.70E+11,1.53E+01,4.41E-06,3.46E+31,6.99E+03,2.33E-01,2.49E-09,3.79E-01,1.32E-85,r,4.6
132,4.70E+11,1.58E+01,4.58E-06,3.46E+31,7.05E+03,2.42E-01,2.57E-09,3.77E-01,2.26E-85,r,4.6
133,4.69E+11,1.63E+01,4.75E-06,3.46E+31,7.11E+03,2.52E-01,2.65E-09,3.75E-01,3.87E-85,r,4.6
134,4.68E+11,1.68E+01,4.92E-06,3.46E+31,7.17E+03,2.62E-01,2.73E-09,3.73E-01,6.59E-85,r,4.6
135,4.68E+11,1.74E+01,5.10E-06,3.46E+31,7.23E+03,2.73E-01,2.82E-09,3.71E-01,1.12E-84,r,4.6
136,4.67E+11,1.80E+01,5.28E-06,3.46E+31,7.30E+03,2.84E-01,2.90E-09,3.69E-01,1.89E-84,r,4.6
137,4.67E+11,1.86E+01,5.47E-06,3.46E+31,7.36E+03,2.95E-01,2.99E-09,3.67E-01,3.17E-84,r,4.6
138,4.66E+11,1.92E+01,5.67E-06,3.46E+31,7.42E+03,3.07E-01,3.09E-09,3.66E-01,5.29E-84,r,4.6
139,4.66E+11,1.98E+01,5.87E-06,3.46E+31,7.48E+03,3.19E-01,3.18E-09,3.64E-01,8.80E-84,r,4.6
140,4.65E+11,2.04E+01,6.07E-06,3.46E+31,7.55E+03,3.31E-01,3.28E-09,3.62E-01,1.46E-83,r,4.6
141,4.65E+11,2.11E+01,6.28E-06,3.46E+31,7.61E+03,3.44E-01,3.38E-09,3.60E-01,2.41E-83,r,4.6
142,4.64E+11,2.17E+01,6.50E-06,3.46E+31,7.67E+03,3.57E-01,3.48E-09,3.59E-01,3.95E-83,r,4.6
143,4.64E+11,2.24E+01,6.72E-06,3.46E+31,7.74E+03,3.71E-01,3.58E-09,3.57E-01,6.46E-83,r,4.6
144,4.63E+11,2.31E+01,6.95E-06,3.46E+31,7.80E+03,3.85E-01,3.69E-09,3.55E-01,1.05E-82,r,4.6
145,4.63E+11,2.38E+01,7.19E-06,3.46E+31,7.86E+03,4.00E-01,3.80E-09,3.54E-01,1.71E-82,r,4.6
146,4.62E+11,2.46E+01,7.43E-06,3.46E+31,7.93E+03,4.15E-01,3.91E-09,3.52E-01,2.76E-82,r,4.6
147,4.61E+11,2.53E+01,7.67E-06,3.46E+31,7.99E+03,4.30E-01,4.02E-09,3.50E-01,4.44E-82,r,4.6
148,4.61E+11,2.61E+01,7.93E-06,3.46E+31,8.05E+03,4.46E-01,4.14E-09,3.49E-01,7.12E-82,r,4.6
149,4.60E+11,2.69E+01,8.19E-06,3.46E+31,8.12E+03,4.63E-01,4.26E-09,3.47E-01,1.14E-81,r,4.6
150,4.60E+11,2.77E+01,8.46E-06,3.46E+31,8.18E+03,4.80E-01,4.38E-09,3.46E-01,1.81E-81,r,4.6
151,4.59E+11,2.85E+01,8.73E-06,3.46E+31,8.25E+03,4.97E-01,4.50E-09,3.44E-01,2.87E-81,r,4.6
152,4.59E+11,2.94E+01,9.02E-06,3.46E+31,8.31E+03,5.15E-01,4.63E-09,3.43E-01,4.53E-81,r,4.6
153,4.58E+11,3.02E+01,9.31E-06,3.46E+31,8.38E+03,5.34E-01,4.76E-09,3.41E-01,7.13E-81,r,4.6
154,4.58E+11,3.11E+01,9.60E-06,3.46E+31,8.44E+03,5.53E-01,4.89E-09,3.40E-01,1.12E-80,r,4.6
155,4.57E+11,3.20E+01,9.91E-06,3.46E+31,8.51E+03,5.73E-01,5.03E-09,3.38E-01,1.75E-80,r,4.6
156,4.57E+11,3.29E+01,1.02E-05,3.46E+31,8.57E+03,5.93E-01,5.17E-09,3.37E-01,2.72E-80,r,4.6
157,4.56E+11,3.39E+01,1.05E-05,3.46E+31,8.64E+03,6.14E-01,5.31E-09,3.35E-01,4.23E-80,r,4.6
158,4.56E+11,3.49E+01,1.09E-05,3.46E+31,8.70E+03,6.36E-01,5.46E-09,3.34E-01,6.54E-80,r,4.6
159,4.55E+11,3.59E+01,1.12E-05,3.46E+31,8.77E+03,6.58E-01,5.61E-09,3.32E-01,1.01E-79,r,4.6
160,4.54E+11,3.69E+01,1.16E-05,3.46E+31,8.83E+03,6.81E-01,5.76E-09,3.31E-01,1.55E-79,r,4.6
161,4.54E+11,3.79E+01,1.19E-05,3.46E+31,8.90E+03,7.05E-01,5.91E-09,3.29E-01,2.38E-79,r,4.6
162,4.53E+11,3.90E+01,1.23E-05,3.46E+31,8.97E+03,7.29E-01,6.07E-09,3.28E-01,3.63E-79,r,4.6
163,4.53E+11,4.01E+01,1.26E-05,3.46E+31,9.03E+03,7.54E-01,6.23E-09,3.27E-01,5.53E-79,r,4.6
164,4.52E+11,4.12E+01,1.30E-05,3.46E+31,9.10E+03,7.80E-01,6.40E-09,3.25E-01,8.40E-79,r,4.6
165,4.52E+11,4.23E+01,1.34E-05,3.46E+31,9.16E+03,8.06E-01,6.57E-09,3.24E-01,1.27E-78,r,4.6
166,4.51E+11,4.35E+01,1.38E-05,3.46E+31,9.23E+03,8.33E-01,6.74E-09,3.23E-01,1.92E-78,r,4.6
167,4.51E+11,4.47E+01,1.42E-05,3.46E+31,9.30E+03,8.61E-01,6.92E-09,3.21E-01,2.89E-78,r,4.6
168,4.50E+11,4.59E+01,1.46E-05,3.46E+31,9.37E+03,8.90E-01,7.10E-09,3.20E-01,4.33E-78,r,4.6
169,4.50E+11,4.71E+01,1.51E-05,3.46E+31,9.43E+03,9.20E-01,7.28E-09,3.19E-01,6.48E-78,r,4.6
