 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
   44  5.170E+11  1.532E-01  2.583E-08  3.455E+31  2.128E+03  9.939E-04  3.488E-11  7.604E-01  1.894-124  r  4.6
   45  5.165E+11  1.681E-01  2.869E-08  3.455E+31  2.179E+03  1.108E-03  3.796E-11  7.498E-01  1.584-123  r  4.6
   46  5.160E+11  1.840E-01  3.179E-08  3.455E+31  2.230E+03  1.231E-03  4.125E-11  7.396E-01  1.247-122  r  4.6
   47  5.154E+11  2.011E-01  3.514E-08  3.455E+31  2.281E+03  1.366E-03  4.474E-11  7.298E-01  9.278-122  r  4.6
   48  5.149E+11  2.193E-01  3.877E-08  3.455E+31  2.332E+03  1.512E-03  4.844E-11  7.203E-01  6.537-121  r  4.6
   49  5.143E+11  2.388E-01  4.269E-08  3.455E+31  2.383E+03  1.671E-03  5.237E-11  7.110E-01  4.373-120  r  4.6
   50  5.138E+11  2.596E-01  4.691E-08  3.455E+31  2.434E+03  1.843E-03  5.654E-11  7.021E-01  2.785-119  r  4.6
   51  5.133E+11  2.817E-01  5.146E-08  3.455E+31  2.485E+03  2.028E-03  6.095E-11  6.935E-01  1.692-118  r  4.6
   52  5.127E+11  3.053E-01  5.635E-08  3.455E+31  2.537E+03  2.229E-03  6.561E-11  6.851E-01  9.832-118  r  4.6
   53  5.122E+11  3.303E-01  6.159E-08  3.455E+31  2.589E+03  2.445E-03  7.053E-11  6.770E-01  5.472-117  r  4.6
   54  5.116E+11  3.569E-01  6.722E-08  3.455E+31  2.640E+03  2.677E-03  7.573E-11  6.691E-01  2.923-116  r  4.6
   55  5.111E+11  3.851E-01  7.324E-08  3.455E+31  2.692E+03  2.927E-03  8.121E-11  6.615E-01  1.501-115  r  4.6
   56  5.106E+11  4.150E-01  7.968E-08  3.455E+31  2.744E+03  3.196E-03  8.698E-11  6.540E-01  7.422-115  r  4.6
   57  5.100E+11  4.466E-01  8.656E-08  3.455E+31  2.796E+03  3.484E-03  9.306E-11  6.468E-01  3.540-114  r  4.6
   58  5.095E+11  4.801E-01  9.391E-08  3.455E+31  2.848E+03  3.793E-03  9.945E-11  6.398E-01  1.631-113  r  4.6
   59  5.089E+11  5.154E-01  1.017E-07  3.455E+31  2.901E+03  4.123E-03  1.062E-10  6.329E-01  7.267-113  r  4.6
   60  5.084E+11  5.527E-01  1.101E-07  3.455E+31  2.953E+03  4.476E-03  1.132E-10  6.263E-01  3.136-112  r  4.6
   61  5.079E+11  5.921E-01  1.189E-07  3.455E+31  3.005E+03  4.854E-03  1.206E-10  6.198E-01  1.312-111  r  4.6
   62  5.073E+11  6.335E-01  1.283E-07  3.455E+31  3.058E+03  5.257E-03  1.284E-10  6.135E-01  5.330-111  r  4.6
   63  5.068E+11  6.772E-01  1.383E-07  3.455E+31  3.111E+03  5.686E-03  1.365E-10  6.073E-01  2.104-110  r  4.6
   64  5.062E+11  7.232E-01  1.489E-07  3.455E+31  3.164E+03  6.143E-03  1.450E-10  6.013E-01  8.082-110  r  4.6
   65  5.057E+11  7.715E-01  1.602E-07  3.455E+31  3.217E+03  6.630E-03  1.539E-10  5.954E-01  3.023-109  r  4.6
   66  5.052E+11  8.222E-01  1.721E-07  3.455E+31  3.270E+03  7.147E-03  1.633E-10  5.897E-01  1.102-108  r  4.6
   67  5.046E+11  8.756E-01  1.846E-07  3.455E+31  3.323E+03  7.697E-03  1.730E-10  5.841E-01  3.919-108  r  4.6
   68  5.041E+11  9.315E-01  1.979E-07  3.455E+31  3.376E+03  8.281E-03  1.832E-10  5.787E-01  1.361-107  r  4.6
   69  5.035E+11  9.901E-01  2.120E-07  3.455E+31  3.430E+03  8.900E-03  1.938E-10  5.734E-01  4.619-107  r  4.6
   70  5.030E+11  1.052E+00  2.268E-07  3.455E+31  3.483E+03  9.556E-03  2.049E-10  5.681E-01  1.533-106  r  4.6
   71  5.025E+11  1.116E+00  2.424E-07  3.455E+31  3.537E+03  1.025E-02  2.165E-10  5.631E-01  4.979-106  r  4.6
   72  5.019E+11  1.183E+00  2.589E-07  3.455E+31  3.591E+03  1.099E-02  2.285E-10  5.581E-01  1.584-105  r  4.6
   73  5.014E+11  1.254E+00  2.763E-07  3.455E+31  3.644E+03  1.176E-02  2.411E-10  5.532E-01  4.938-105  r  4.6
   74  5.008E+11  1.328E+00  2.945E-07  3.455E+31  3.698E+03  1.259E-02  2.541E-10  5.484E-01  1.509-104  r  4.6
   75  5.003E+11  1.405E+00  3.137E-07  3.455E+31  3.753E+03  1.345E-02  2.678E-10  5.438E-01  4.528-104  r  4.6
   76  4.998E+11  1.485E+00  3.339E-07  3.455E+31  3.807E+03  1.437E-02  2.819E-10  5.392E-01  1.333-103  r  4.6
   77  4.992E+11  1.569E+00  3.551E-07  3.455E+31  3.861E+03  1.534E-02  2.966E-10  5.347E-01  3.857-103  r  4.6
   78  4.987E+11  1.656E+00  3.773E-07  3.455E+31  3.916E+03  1.636E-02  3.119E-10  5.304E-01  1.097-102  r  4.6
   79  4.981E+11  1.748E+00  4.006E-07  3.455E+31  3.970E+03  1.743E-02  3.279E-10  5.261E-01  3.067-102  r  4.6
   80  4.976E+11  1.843E+00  4.251E-07  3.455E+31  4.025E+03  1.856E-02  3.444E-10  5.219E-01  8.436-102  r  4.6
   81  4.971E+11  1.942E+00  4.507E-07  3.455E+31  4.080E+03  1.975E-02  3.615E-10  5.177E-01  2.284-101  r  4.6
   82  4.965E+11  2.045E+00  4.776E-07  3.455E+31  4.135E+03  2.100E-02  3.793E-10  5.137E-01  6.091-101  r  4.6
   83  4.960E+11  2.152E+00  5.056E-07  3.455E+31  4.190E+03  2.231E-02  3.978E-10  5.097E-01  1.600-100  r  4.6
   84  4.954E+11  2.264E+00  5.350E-07  3.455E+31  4.245E+03  2.370E-02  4.169E-10  5.058E-01  4.142-100  r  4.6
   85  4.949E+11  2.380E+00  5.657E-07  3.455E+31  4.300E+03  2.515E-02  4.367E-10  5.020E-01  1.057E-99  r  4.6
   86  4.944E+11  2.501E+00  5.978E-07  3.455E+31  4.356E+03  2.667E-02  4.573E-10  4.982E-01  2.662E-99  r  4.6
   87  4.938E+11  2.627E+00  6.314E-07  3.455E+31  4.412E+03  2.827E-02  4.786E-10  4.946E-01  6.614E-99  r  4.6
   88  4.933E+11  2.757E+00  6.664E-07  3.455E+31  4.467E+03  2.994E-02  5.006E-10  4.909E-01  1.622E-98  r  4.6
   89  4.927E+11  2.892E+00  7.029E-07  3.455E+31  4.523E+03  3.170E-02  5.234E-10  4.874E-01  3.927E-98  r  4.6
   90  4.922E+11  3.033E+00  7.410E-07  3.455E+31  4.579E+03  3.354E-02  5.470E-10  4.839E-01  9.391E-98  r  4.6
   91  4.917E+11  3.178E+00  7.808E-07  3.455E+31  4.635E+03  3.547E-02  5.715E-10  4.805E-01  2.219E-97  r  4.6
   92  4.911E+11  3.329E+00  8.222E-07  3.455E+31  4.691E+03  3.748E-02  5.967E-10  4.771E-01  5.182E-97  r  4.6
   93  4.906E+11  3.486E+00  8.653E-07  3.455E+31  4.748E+03  3.959E-02  6.228E-10  4.738E-01  1.196E-96  r  4.6
   94  4.900E+11  3.648E+00  9.102E-07  3.455E+31  4.804E+03  4.180E-02  6.498E-10  4.705E-01  2.731E-96  r  4.6
   95  4.895E+11  3.817E+00  9.569E-07  3.455E+31  4.861E+03  4.411E-02  6.777E-10  4.673E-01  6.168E-96  r  4.6
   96  4.890E+11  3.991E+00  1.006E-06  3.455E+31  4.917E+03  4.652E-02  7.065E-10  4.642E-01  1.378E-95  r  4.6
   97  4.884E+11  4.171E+00  1.056E-06  3.455E+31  4.974E+03  4.903E-02  7.362E-10  4.611E-01  3.048E-95  r  4.6
   98  4.879E+11  4.358E+00  1.109E-06  3.455E+31  5.031E+03  5.166E-02  7.669E-10  4.580E-01  6.672E-95  r  4.6
   99  4.873E+11  4.551E+00  1.163E-06  3.455E+31  5.088E+03  5.441E-02  7.986E-10  4.550E-01  1.446E-94  r  4.6
  100  4.868E+11  4.750E+00  1.220E-06  3.455E+31  5.146E+03  5.727E-02  8.313E-10  4.521E-01  3.105E-94  r  4.6
  101  4.863E+11  4.957E+00  1.279E-06  3.455E+31  5.203E+03  6.026E-02  8.650E-10  4.491E-01  6.602E-94  r  4.6
  102  4.857E+11  5.170E+00  1.340E-06  3.455E+31  5.260E+03  6.337E-02  8.997E-10  4.463E-01  1.391E-93  r  4.6
  103  4.852E+11  5.391E+00  1.404E-06  3.455E+31  5.318E+03  6.662E-02  9.356E-10  4.435E-01  2.905E-93  r  4.6
  104  4.846E+11  5.619E+00  1.470E-06  3.455E+31  5.376E+03  7.000E-02  9.725E-10  4.407E-01  6.013E-93  r  4.6
  105  4.841E+11  5.854E+00  1.538E-06  3.455E+31  5.434E+03  7.352E-02  1.011E-09  4.380E-01  1.234E-92  r  4.6
  106  4.835E+11  6.097E+00  1.609E-06  3.455E+31  5.492E+03  7.719E-02  1.050E-09  4.353E-01  2.511E-92  r  4.6
  107  4.830E+11  6.348E+00  1.682E-06  3.455E+31  5.550E+03  8.101E-02  1.090E-09  4.326E-01  5.067E-92  r  4.6
  108  4.825E+11  6.607E+00  1.758E-06  3.455E+31  5.608E+03  8.499E-02  1.132E-09  4.300E-01  1.014E-91  r  4.6
  109  4.819E+11  6.874E+00  1.837E-06  3.455E+31  5.667E+03  8.912E-02  1.175E-09  4.274E-01  2.015E-91  r  4.6
  110  4.814E+11  7.149E+00  1.918E-06  3.455E+31  5.725E+03  9.342E-02  1.219E-09  4.249E-01  3.971E-91  r  4.6
  111  4.808E+11  7.433E+00  2.003E-06  3.455E+31  5.784E+03  9.789E-02  1.264E-09  4.224E-01  7.768E-91  r  4.6
  112  4.803E+11  7.726E+00  2.090E-06  3.455E+31  5.843E+03  1.025E-01  1.311E-09  4.199E-01  1.508E-90  r  4.6
  113  4.798E+11  8.028E+00  2.180E-06  3.455E+31  5.902E+03  1.074E-01  1.359E-09  4.175E-01  2.907E-90  r  4.6
  114  4.792E+11  8.339E+00  2.273E-06  3.455E+31  5.961E+03  1.124E-01  1.408E-09  4.151E-01  5.565E-90  r  4.6
  115  4.787E+11  8.660E+00  2.370E-06  3.455E+31  6.020E+03  1.176E-01  1.459E-09  4.126E-01  1.058E-89  r  4.6
  116  4.781E+11  8.990E+00  2.470E-06  3.455E+31  6.079E+03  1.230E-01  1.511E-09  4.103E-01  1.996E-89  r  4.6
  117  4.776E+11  9.330E+00  2.573E-06  3.455E+31  6.139E+03  1.286E-01  1.565E-09  4.080E-01  3.743E-89  r  4.6
  118  4.771E+11  9.680E+00  2.679E-06  3.455E+31  6.198E+03  1.344E-01  1.620E-09  4.057E-01  6.971E-89  r  4.6
  119  4.765E+11  1.004E+01  2.789E-06  3.455E+31  6.258E+03  1.405E-01  1.677E-09  4.034E-01  1.290E-88  r  4.6
  120  4.760E+11  1.041E+01  2.903E-06  3.455E+31  6.318E+03  1.468E-01  1.735E-09  4.012E-01  2.373E-88  r  4.6
  121  4.754E+11  1.079E+01  3.020E-06  3.455E+31  6.378E+03  1.533E-01  1.795E-09  3.990E-01  4.337E-88  r  4.6
  122  4.749E+11  1.118E+01  3.141E-06  3.455E+31  6.438E+03  1.600E-01  1.856E-09  3.969E-01  7.879E-88  r  4.6
  123  4.744E+11  1.159E+01  3.266E-06  3.455E+31  6.499E+03  1.670E-01  1.919E-09  3.947E-01  1.423E-87  r  4.6
  124  4.738E+11  1.200E+01  3.395E-06  3.455E+31  6.559E+03  1.742E-01  1.984E-09  3.926E-01  2.554E-87  r  4.6
  125  4.733E+11  1.243E+01  3.528E-06  3.455E+31  6.620E+03  1.817E-01  2.050E-09  3.905E-01  4.560E-87  r  4.6
  126  4.727E+11  1.287E+01  3.664E-06  3.455E+31  6.680E+03  1.895E-01  2.118E-09  3.885E-01  8.094E-87  r  4.6
  127  4.722E+11  1.332E+01  3.806E-06  3.455E+31  6.741E+03  1.975E-01  2.188E-09  3.864E-01  1.429E-86  r  4.6
  128  4.717E+11  1.378E+01  3.951E-06  3.455E+31  6.802E+03  2.059E-01  2.260E-09  3.844E-01  2.509E-86  r  4.6
  129  4.711E+11  1.426E+01  4.101E-06  3.455E+31  6.863E+03  2.145E-01  2.334E-09  3.825E-01  4.382E-86  r  4.6
  130  4.706E+11  1.475E+01  4.255E-06  3.455E+31  6.925E+03  2.234E-01  2.409E-09  3.805E-01  7.613E-86  r  4.6
  131  4.700E+11  1.525E+01  4.414E-06  3.455E+31  6.986E+03  2.326E-01  2.487E-09  3.786E-01  1.316E-85  r  4.6
  132  4.695E+11  1.576E+01  4.578E-06  3.455E+31  7.048E+03  2.422E-01  2.566E-09  3.767E-01  2.263E-85  r  4.6
  133  4.690E+11  1.629E+01  4.746E-06  3.455E+31  7.109E+03  2.520E-01  2.648E-09  3.748E-01  3.872E-85  r  4.6
  134  4.684E+11  1.684E+01  4.920E-06  3.455E+31  7.171E+03  2.622E-01  2.731E-09  3.729E-01  6.594E-85  r  4.6
  135  4.679E+11  1.739E+01  5.098E-06  3.455E+31  7.233E+03  2.728E-01  2.817E-09  3.710E-01  1.118E-84  r  4.6
  136  4.673E+11  1.797E+01  5.282E-06  3.455E+31  7.296E+03  2.837E-01  2.904E-09  3.692E-01  1.885E-84  r  4.6
  137  4.668E+11  1.855E+01  5.471E-06  3.455E+31  7.358E+03  2.950E-01  2.994E-09  3.674E-01  3.165E-84  r  4.6
  138  4.663E+11  1.916E+01  5.665E-06  3.455E+31  7.420E+03  3.066E-01  3.086E-09  3.656E-01  5.290E-84  r  4.6
  139  4.657E+11  1.977E+01  5.865E-06  3.455E+31  7.483E+03  3.187E-01  3.180E-09  3.639E-01  8.802E-84  r  4.6
  140  4.652E+11  2.041E+01  6.070E-06  3.455E+31  7.546E+03  3.311E-01  3.277E-09  3.621E-01  1.458E-83  r  4.6
  141  4.646E+11  2.106E+01  6.281E-06  3.455E+31  7.609E+03  3.439E-01  3.376E-09  3.604E-01  2.405E-83  r  4.6
  142  4.641E+11  2.172E+01  6.498E-06  3.455E+31  7.672E+03  3.572E-01  3.477E-09  3.587E-01  3.951E-83  r  4.6
  143  4.636E+11  2.240E+01  6.721E-06  3.455E+31  7.735E+03  3.708E-01  3.581E-09  3.570E-01  6.462E-83  r  4.6
  144  4.630E+11  2.310E+01  6.950E-06  3.455E+31  7.798E+03  3.849E-01  3.687E-09  3.553E-01  1.053E-82  r  4.6
  145  4.625E+11  2.382E+01  7.185E-06  3.455E+31  7.862E+03  3.995E-01  3.795E-09  3.537E-01  1.707E-82  r  4.6
  146  4.619E+11  2.455E+01  7.426E-06  3.455E+31  7.925E+03  4.145E-01  3.906E-09  3.520E-01  2.759E-82  r  4.6
  147  4.614E+11  2.530E+01  7.674E-06  3.455E+31  7.989E+03  4.300E-01  4.020E-09  3.504E-01  4.441E-82  r  4.6
  148  4.609E+11  2.608E+01  7.929E-06  3.455E+31  8.053E+03  4.460E-01  4.137E-09  3.488E-01  7.120E-82  r  4.6
  149  4.603E+11  2.686E+01  8.190E-06  3.455E+31  8.117E+03  4.625E-01  4.256E-09  3.472E-01  1.137E-81  r  4.6
  150  4.598E+11  2.767E+01  8.458E-06  3.455E+31  8.182E+03  4.795E-01  4.377E-09  3.457E-01  1.809E-81  r  4.6
