                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     2.06300 solar
                                             L    =    25.40000 solar
                                             R    =     1.70226 solar
                                             Teff =  9940.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
   42  1.135E+09  4.809E+04  1.608E-07  9.751E+27  1.395E+05  8.463E+06  4.482E-03  1.040E+00  9.823E-32  r  4.6
   43  1.134E+09  5.386E+04  1.828E-07  9.751E+27  1.435E+05  9.654E+06  4.969E-03  1.022E+00  1.988E-31  r  4.6
   44  1.133E+09  6.013E+04  2.071E-07  9.751E+27  1.476E+05  1.098E+07  5.494E-03  1.006E+00  3.927E-31  r  4.6
   45  1.132E+09  6.696E+04  2.339E-07  9.751E+27  1.517E+05  1.244E+07  6.060E-03  9.898E-01  7.587E-31  r  4.6
   46  1.131E+09  7.435E+04  2.633E-07  9.751E+27  1.558E+05  1.405E+07  6.667E-03  9.746E-01  1.435E-30  r  4.6
   47  1.129E+09  8.236E+04  2.956E-07  9.751E+27  1.599E+05  1.583E+07  7.320E-03  9.599E-01  2.662E-30  r  4.6
   48  1.128E+09  9.101E+04  3.309E-07  9.751E+27  1.640E+05  1.778E+07  8.018E-03  9.458E-01  4.845E-30  r  4.6
   49  1.127E+09  1.003E+05  3.695E-07  9.751E+27  1.681E+05  1.993E+07  8.765E-03  9.323E-01  8.663E-30  r  4.6
   50  1.126E+09  1.104E+05  4.116E-07  9.751E+27  1.722E+05  2.227E+07  9.563E-03  9.192E-01  1.523E-29  r  4.6
   51  1.125E+09  1.212E+05  4.573E-07  9.751E+27  1.764E+05  2.483E+07  1.041E-02  9.066E-01  2.636E-29  r  4.6
   52  1.124E+09  1.327E+05  5.070E-07  9.751E+27  1.805E+05  2.763E+07  1.132E-02  8.944E-01  4.492E-29  r  4.6
   53  1.122E+09  1.452E+05  5.608E-07  9.751E+27  1.847E+05  3.067E+07  1.228E-02  8.826E-01  7.547E-29  r  4.6
   54  1.121E+09  1.584E+05  6.190E-07  9.751E+27  1.888E+05  3.397E+07  1.331E-02  8.713E-01  1.251E-28  r  4.6
   55  1.120E+09  1.726E+05  6.820E-07  9.751E+27  1.930E+05  3.755E+07  1.440E-02  8.603E-01  2.046E-28  r  4.6
   56  1.119E+09  1.878E+05  7.498E-07  9.751E+27  1.972E+05  4.143E+07  1.555E-02  8.497E-01  3.304E-28  r  4.6
   57  1.118E+09  2.039E+05  8.229E-07  9.751E+27  2.014E+05  4.563E+07  1.677E-02  8.394E-01  5.275E-28  r  4.6
   58  1.116E+09  2.211E+05  9.015E-07  9.751E+27  2.056E+05  5.016E+07  1.806E-02  8.294E-01  8.325E-28  r  4.6
   59  1.115E+09  2.394E+05  9.859E-07  9.751E+27  2.098E+05  5.505E+07  1.942E-02  8.197E-01  1.300E-27  r  4.6
   60  1.114E+09  2.589E+05  1.076E-06  9.751E+27  2.140E+05  6.031E+07  2.086E-02  8.103E-01  2.008E-27  r  4.6
   61  1.113E+09  2.795E+05  1.173E-06  9.751E+27  2.183E+05  6.598E+07  2.238E-02  8.011E-01  3.071E-27  r  4.6
   62  1.112E+09  3.013E+05  1.277E-06  9.751E+27  2.225E+05  7.206E+07  2.398E-02  7.923E-01  4.654E-27  r  4.6
   63  1.111E+09  3.245E+05  1.388E-06  9.751E+27  2.268E+05  7.859E+07  2.567E-02  7.837E-01  6.986E-27  r  4.6
   64  1.109E+09  3.490E+05  1.506E-06  9.751E+27  2.310E+05  8.559E+07  2.744E-02  7.753E-01  1.040E-26  r  4.6
   65  1.108E+09  3.749E+05  1.632E-06  9.751E+27  2.353E+05  9.309E+07  2.930E-02  7.671E-01  1.534E-26  r  4.6
   66  1.107E+09  4.023E+05  1.767E-06  9.751E+27  2.396E+05  1.011E+08  3.126E-02  7.592E-01  2.246E-26  r  4.6
   67  1.106E+09  4.311E+05  1.910E-06  9.751E+27  2.439E+05  1.097E+08  3.332E-02  7.515E-01  3.261E-26  r  4.6
   68  1.105E+09  4.616E+05  2.062E-06  9.751E+27  2.482E+05  1.188E+08  3.547E-02  7.439E-01  4.700E-26  r  4.6
   69  1.103E+09  4.936E+05  2.223E-06  9.751E+27  2.525E+05  1.286E+08  3.773E-02  7.366E-01  6.726E-26  r  4.6
   70  1.102E+09  5.274E+05  2.394E-06  9.751E+27  2.568E+05  1.390E+08  4.010E-02  7.294E-01  9.557E-26  r  4.6
   71  1.101E+09  5.629E+05  2.576E-06  9.751E+27  2.611E+05  1.500E+08  4.257E-02  7.225E-01  1.349E-25  r  4.6
   72  1.100E+09  6.003E+05  2.768E-06  9.751E+27  2.655E+05  1.618E+08  4.516E-02  7.156E-01  1.891E-25  r  4.6
   73  1.099E+09  6.395E+05  2.971E-06  9.751E+27  2.698E+05  1.743E+08  4.787E-02  7.090E-01  2.636E-25  r  4.6
   74  1.098E+09  6.807E+05  3.186E-06  9.751E+27  2.742E+05  1.876E+08  5.070E-02  7.025E-01  3.650E-25  r  4.6
   75  1.096E+09  7.239E+05  3.413E-06  9.751E+27  2.786E+05  2.017E+08  5.366E-02  6.961E-01  5.026E-25  r  4.6
   76  1.095E+09  7.692E+05  3.653E-06  9.751E+27  2.829E+05  2.166E+08  5.675E-02  6.899E-01  6.881E-25  r  4.6
   77  1.094E+09  8.166E+05  3.906E-06  9.751E+27  2.873E+05  2.324E+08  5.996E-02  6.839E-01  9.369E-25  r  4.6
   78  1.093E+09  8.663E+05  4.172E-06  9.751E+27  2.917E+05  2.492E+08  6.332E-02  6.780E-01  1.269E-24  r  4.6
   79  1.092E+09  9.183E+05  4.453E-06  9.751E+27  2.962E+05  2.669E+08  6.682E-02  6.722E-01  1.710E-24  r  4.6
   80  1.090E+09  9.727E+05  4.749E-06  9.751E+27  3.006E+05  2.856E+08  7.046E-02  6.665E-01  2.292E-24  r  4.6
   81  1.089E+09  1.030E+06  5.059E-06  9.751E+27  3.050E+05  3.054E+08  7.425E-02  6.609E-01  3.059E-24  r  4.6
   82  1.088E+09  1.089E+06  5.386E-06  9.751E+27  3.095E+05  3.263E+08  7.819E-02  6.555E-01  4.062E-24  r  4.6
   83  1.087E+09  1.151E+06  5.729E-06  9.751E+27  3.139E+05  3.483E+08  8.230E-02  6.502E-01  5.370E-24  r  4.6
   84  1.086E+09  1.216E+06  6.090E-06  9.751E+27  3.184E+05  3.716E+08  8.656E-02  6.450E-01  7.067E-24  r  4.6
   85  1.084E+09  1.283E+06  6.468E-06  9.751E+27  3.228E+05  3.961E+08  9.100E-02  6.398E-01  9.262E-24  r  4.6
   86  1.083E+09  1.354E+06  6.864E-06  9.751E+27  3.273E+05  4.219E+08  9.560E-02  6.348E-01  1.209E-23  r  4.6
   87  1.082E+09  1.427E+06  7.280E-06  9.751E+27  3.318E+05  4.490E+08  1.004E-01  6.299E-01  1.571E-23  r  4.6
   88  1.081E+09  1.503E+06  7.715E-06  9.751E+27  3.363E+05  4.776E+08  1.053E-01  6.251E-01  2.034E-23  r  4.6
   89  1.080E+09  1.583E+06  8.171E-06  9.751E+27  3.408E+05  5.076E+08  1.105E-01  6.204E-01  2.624E-23  r  4.6
   90  1.079E+09  1.666E+06  8.647E-06  9.751E+27  3.454E+05  5.392E+08  1.158E-01  6.157E-01  3.371E-23  r  4.6
   91  1.077E+09  1.752E+06  9.146E-06  9.751E+27  3.499E+05  5.724E+08  1.214E-01  6.112E-01  4.317E-23  r  4.6
   92  1.076E+09  1.841E+06  9.667E-06  9.751E+27  3.544E+05  6.072E+08  1.271E-01  6.067E-01  5.508E-23  r  4.6
   93  1.075E+09  1.934E+06  1.021E-05  9.751E+27  3.590E+05  6.437E+08  1.330E-01  6.023E-01  7.003E-23  r  4.6
   94  1.074E+09  2.031E+06  1.078E-05  9.751E+27  3.636E+05  6.820E+08  1.392E-01  5.980E-01  8.874E-23  r  4.6
   95  1.073E+09  2.132E+06  1.137E-05  9.751E+27  3.681E+05  7.222E+08  1.456E-01  5.938E-01  1.121E-22  r  4.6
   96  1.071E+09  2.236E+06  1.199E-05  9.751E+27  3.727E+05  7.642E+08  1.522E-01  5.896E-01  1.411E-22  r  4.6
   97  1.070E+09  2.344E+06  1.264E-05  9.751E+27  3.773E+05  8.083E+08  1.590E-01  5.856E-01  1.772E-22  r  4.6
   98  1.069E+09  2.456E+06  1.331E-05  9.751E+27  3.819E+05  8.544E+08  1.660E-01  5.816E-01  2.217E-22  r  4.6
   99  1.068E+09  2.573E+06  1.401E-05  9.751E+27  3.866E+05  9.027E+08  1.733E-01  5.776E-01  2.767E-22  r  4.6
  100  1.067E+09  2.693E+06  1.474E-05  9.751E+27  3.912E+05  9.532E+08  1.809E-01  5.737E-01  3.443E-22  r  4.6
  101  1.066E+09  2.819E+06  1.550E-05  9.751E+27  3.958E+05  1.006E+09  1.886E-01  5.699E-01  4.272E-22  r  4.6
  102  1.064E+09  2.948E+06  1.629E-05  9.751E+27  4.005E+05  1.061E+09  1.967E-01  5.662E-01  5.286E-22  r  4.6
  103  1.063E+09  3.082E+06  1.711E-05  9.751E+27  4.052E+05  1.119E+09  2.050E-01  5.625E-01  6.524E-22  r  4.6
  104  1.062E+09  3.221E+06  1.797E-05  9.751E+27  4.098E+05  1.179E+09  2.136E-01  5.588E-01  8.030E-22  r  4.6
  105  1.061E+09  3.365E+06  1.885E-05  9.751E+27  4.145E+05  1.242E+09  2.224E-01  5.553E-01  9.859E-22  r  4.6
  106  1.060E+09  3.514E+06  1.978E-05  9.751E+27  4.192E+05  1.308E+09  2.316E-01  5.518E-01  1.208E-21  r  4.6
  107  1.058E+09  3.668E+06  2.074E-05  9.751E+27  4.239E+05  1.376E+09  2.410E-01  5.483E-01  1.475E-21  r  4.6
  108  1.057E+09  3.827E+06  2.173E-05  9.751E+27  4.286E+05  1.447E+09  2.507E-01  5.449E-01  1.798E-21  r  4.6
  109  1.056E+09  3.991E+06  2.276E-05  9.751E+27  4.334E+05  1.522E+09  2.607E-01  5.415E-01  2.187E-21  r  4.6
  110  1.055E+09  4.161E+06  2.384E-05  9.751E+27  4.381E+05  1.599E+09  2.711E-01  5.382E-01  2.653E-21  r  4.6
  111  1.054E+09  4.337E+06  2.495E-05  9.751E+27  4.429E+05  1.680E+09  2.817E-01  5.350E-01  3.212E-21  r  4.6
  112  1.053E+09  4.518E+06  2.610E-05  9.751E+27  4.476E+05  1.764E+09  2.927E-01  5.318E-01  3.881E-21  r  4.6
  113  1.051E+09  4.705E+06  2.729E-05  9.751E+27  4.524E+05  1.852E+09  3.040E-01  5.286E-01  4.678E-21  r  4.6
  114  1.050E+09  4.898E+06  2.853E-05  9.751E+27  4.572E+05  1.943E+09  3.156E-01  5.255E-01  5.627E-21  r  4.6
  115  1.049E+09  5.098E+06  2.981E-05  9.751E+27  4.620E+05  2.038E+09  3.276E-01  5.224E-01  6.756E-21  r  4.6
  116  1.048E+09  5.304E+06  3.114E-05  9.751E+27  4.668E+05  2.136E+09  3.399E-01  5.194E-01  8.094E-21  r  4.6
  117  1.047E+09  5.516E+06  3.251E-05  9.751E+27  4.716E+05  2.239E+09  3.526E-01  5.164E-01  9.679E-21  r  4.6
  118  1.045E+09  5.735E+06  3.393E-05  9.751E+27  4.764E+05  2.346E+09  3.657E-01  5.135E-01  1.155E-20  r  4.6
  119  1.044E+09  5.961E+06  3.540E-05  9.751E+27  4.813E+05  2.457E+09  3.791E-01  5.106E-01  1.376E-20  r  4.6
  120  1.043E+09  6.193E+06  3.692E-05  9.751E+27  4.861E+05  2.572E+09  3.929E-01  5.077E-01  1.637E-20  r  4.6
  121  1.042E+09  6.433E+06  3.850E-05  9.751E+27  4.910E+05  2.691E+09  4.071E-01  5.049E-01  1.943E-20  r  4.6
  122  1.041E+09  6.680E+06  4.012E-05  9.751E+27  4.959E+05  2.815E+09  4.217E-01  5.021E-01  2.302E-20  r  4.6
  123  1.039E+09  6.935E+06  4.180E-05  9.751E+27  5.008E+05  2.944E+09  4.368E-01  4.994E-01  2.723E-20  r  4.6
  124  1.038E+09  7.197E+06  4.354E-05  9.751E+27  5.057E+05  3.078E+09  4.522E-01  4.967E-01  3.215E-20  r  4.6
  125  1.037E+09  7.467E+06  4.533E-05  9.751E+27  5.106E+05  3.217E+09  4.681E-01  4.940E-01  3.790E-20  r  4.6
  126  1.036E+09  7.744E+06  4.718E-05  9.751E+27  5.155E+05  3.361E+09  4.844E-01  4.914E-01  4.461E-20  r  4.6
  127  1.035E+09  8.030E+06  4.909E-05  9.751E+27  5.204E+05  3.510E+09  5.011E-01  4.888E-01  5.242E-20  r  4.6
  128  1.034E+09  8.324E+06  5.106E-05  9.751E+27  5.254E+05  3.665E+09  5.183E-01  4.862E-01  6.150E-20  r  4.6
  129  1.032E+09  8.627E+06  5.310E-05  9.751E+27  5.303E+05  3.826E+09  5.359E-01  4.837E-01  7.205E-20  r  4.6
  130  1.031E+09  8.938E+06  5.519E-05  9.751E+27  5.353E+05  3.992E+09  5.541E-01  4.811E-01  8.427E-20  r  4.6
  131  1.030E+09  9.258E+06  5.736E-05  9.751E+27  5.403E+05  4.164E+09  5.727E-01  4.787E-01  9.843E-20  r  4.6
  132  1.029E+09  9.587E+06  5.959E-05  9.751E+27  5.453E+05  4.343E+09  5.918E-01  4.762E-01  1.148E-19  r  4.6
  133  1.028E+09  9.926E+06  6.189E-05  9.751E+27  5.503E+05  4.528E+09  6.114E-01  4.738E-01  1.337E-19  r  4.6
  134  1.026E+09  1.027E+07  6.426E-05  9.751E+27  5.553E+05  4.719E+09  6.315E-01  4.714E-01  1.555E-19  r  4.6
  135  1.025E+09  1.063E+07  6.671E-05  9.751E+27  5.603E+05  4.917E+09  6.521E-01  4.691E-01  1.806E-19  r  4.6
  136  1.024E+09  1.100E+07  6.922E-05  9.751E+27  5.654E+05  5.122E+09  6.732E-01  4.668E-01  2.094E-19  r  4.6
  137  1.023E+09  1.137E+07  7.181E-05  9.751E+27  5.704E+05  5.334E+09  6.949E-01  4.645E-01  2.426E-19  r  4.6
  138  1.022E+09  1.176E+07  7.448E-05  9.751E+27  5.755E+05  5.554E+09  7.172E-01  4.622E-01  2.806E-19  r  4.6
  139  1.021E+09  1.216E+07  7.723E-05  9.751E+27  5.806E+05  5.781E+09  7.400E-01  4.599E-01  3.242E-19  r  4.6
  140  1.019E+09  1.257E+07  8.006E-05  9.751E+27  5.857E+05  6.016E+09  7.633E-01  4.577E-01  3.740E-19  r  4.6
  141  1.018E+09  1.299E+07  8.297E-05  9.751E+27  5.908E+05  6.258E+09  7.873E-01  4.555E-01  4.310E-19  r  4.6
  142  1.017E+09  1.342E+07  8.596E-05  9.751E+27  5.959E+05  6.509E+09  8.118E-01  4.534E-01  4.961E-19  r  4.6
  143  1.016E+09  1.386E+07  8.904E-05  9.751E+27  6.010E+05  6.769E+09  8.370E-01  4.512E-01  5.703E-19  r  4.6
  144  1.015E+09  1.431E+07  9.221E-05  9.751E+27  6.062E+05  7.036E+09  8.628E-01  4.491E-01  6.549E-19  r  4.6
  145  1.013E+09  1.478E+07  9.547E-05  9.751E+27  6.113E+05  7.313E+09  8.892E-01  4.470E-01  7.511E-19  r  4.6
  146  1.012E+09  1.525E+07  9.882E-05  9.751E+27  6.165E+05  7.599E+09  9.162E-01  4.449E-01  8.605E-19  r  4.6
  147  1.011E+09  1.574E+07  1.023E-04  9.751E+27  6.216E+05  7.894E+09  9.439E-01  4.429E-01  9.847E-19  r  4.6
  148  1.010E+09  1.624E+07  1.058E-04  9.751E+27  6.268E+05  8.199E+09  9.723E-01  4.409E-01  1.126E-18  r  4.6
  149  1.009E+09  1.676E+07  1.094E-04  9.751E+27  6.320E+05  8.514E+09  1.001E+00  4.389E-01  1.285E-18  r  4.6
  150  1.008E+09  1.728E+07  1.132E-04  9.751E+27  6.372E+05  8.839E+09  1.031E+00  4.369E-01  1.466E-18  r  4.6
  151  1.006E+09  1.782E+07  1.170E-04  9.751E+27  6.425E+05  9.174E+09  1.061E+00  4.349E-01  1.670E-18  r  4.6
  152  1.005E+09  1.838E+07  1.210E-04  9.751E+27  6.477E+05  9.520E+09  1.093E+00  4.330E-01  1.901E-18  r  4.6
  153  1.004E+09  1.894E+07  1.250E-04  9.751E+27  6.530E+05  9.877E+09  1.124E+00  4.311E-01  2.162E-18  r  4.6
  154  1.003E+09  1.952E+07  1.292E-04  9.751E+27  6.582E+05  1.024E+10  1.157E+00  4.292E-01  2.456E-18  r  4.6
  155  1.002E+09  2.012E+07  1.334E-04  9.751E+27  6.635E+05  1.062E+10  1.190E+00  4.273E-01  2.787E-18  r  4.6
  156  1.000E+09  2.073E+07  1.378E-04  9.751E+27  6.688E+05  1.102E+10  1.225E+00  4.254E-01  3.160E-18  r  4.6
  157  9.992E+08  2.135E+07  1.423E-04  9.751E+27  6.741E+05  1.142E+10  1.259E+00  4.236E-01  3.579E-18  r  4.6
  158  9.981E+08  2.199E+07  1.469E-04  9.751E+27  6.794E+05  1.184E+10  1.295E+00  4.218E-01  4.050E-18  r  4.6
  159  9.969E+08  2.265E+07  1.516E-04  9.751E+27  6.848E+05  1.226E+10  1.332E+00  4.200E-01  4.578E-18  r  4.6
  160  9.957E+08  2.332E+07  1.565E-04  9.751E+27  6.901E+05  1.271E+10  1.369E+00  4.182E-01  5.171E-18  r  4.6
  161  9.945E+08  2.400E+07  1.614E-04  9.751E+27  6.955E+05  1.316E+10  1.407E+00  4.164E-01  5.835E-18  r  4.6
  162  9.933E+08  2.470E+07  1.665E-04  9.751E+27  7.008E+05  1.363E+10  1.446E+00  4.146E-01  6.579E-18  r  4.6
  163  9.921E+08  2.542E+07  1.718E-04  9.751E+27  7.062E+05  1.411E+10  1.486E+00  4.129E-01  7.411E-18  r  4.6
  164  9.910E+08  2.616E+07  1.771E-04  9.751E+27  7.116E+05  1.461E+10  1.527E+00  4.112E-01  8.342E-18  r  4.6
  165  9.898E+08  2.691E+07  1.826E-04  9.751E+27  7.170E+05  1.513E+10  1.569E+00  4.095E-01  9.381E-18  r  4.6
  166  9.886E+08  2.768E+07  1.882E-04  9.751E+27  7.224E+05  1.565E+10  1.611E+00  4.078E-01  1.054E-17  r  4.6
  167  9.874E+08  2.847E+07  1.940E-04  9.751E+27  7.279E+05  1.620E+10  1.655E+00  4.062E-01  1.183E-17  r  4.6
  168  9.862E+08  2.927E+07  1.999E-04  9.751E+27  7.333E+05  1.676E+10  1.699E+00  4.045E-01  1.328E-17  r  4.6
  169  9.850E+08  3.009E+07  2.060E-04  9.751E+27  7.388E+05  1.733E+10  1.745E+00  4.029E-01  1.488E-17  r  4.6
  170  9.839E+08  3.093E+07  2.121E-04  9.751E+27  7.443E+05  1.792E+10  1.791E+00  4.012E-01  1.667E-17  r  4.6
  171  9.827E+08  3.180E+07  2.185E-04  9.751E+27  7.497E+05  1.853E+10  1.838E+00  3.996E-01  1.865E-17  r  4.6
  172  9.815E+08  3.267E+07  2.250E-04  9.751E+27  7.553E+05  1.916E+10  1.887E+00  3.981E-01  2.086E-17  r  4.6
